_id,LOC ID,BIN ID,ADDRESS NUM,ADDRESS ST,FRONTING ST,SIDE,FROM ST,DIRECTION,SITE ID,WARD,BIA,ASSET TYPE,STATUS,BARCODE,SDE STATUS,DAYS SERVICED,geometry
1,1,LR-07817,532,Annette St,Annette St,North,Runnymede Rd,West,00954,04, ,WR1,Existing,L1300954,0,5,"{""type"": ""Point"", ""coordinates"": [-79.4802204, 43.66008195]}"
2,2,LR-07821,2394,Bloor St W,Bloor St W,North,Armadale Ave,East,03373,04,Bloor West Village,WR4,Existing,L1303373,0,7,"{""type"": ""Point"", ""coordinates"": [-79.48265179, 43.64981561]}"
3,3,LR-07822,1873,Bloor St W,Bloor St W,South,Colborne Lodge Dr,East,00977,04, ,WR2,Existing,L1300977,0,7,"{""type"": ""Point"", ""coordinates"": [-79.46464361, 43.65359979]}"
4,4,LR-07835,2190C,Bloor St W,Bloor St W,North,Kennedy Ave,East,03301,04,Bloor West Village,WR4,Existing,L1303301,0,7,"{""type"": ""Point"", ""coordinates"": [-79.47494307, 43.65150526]}"
5,5,LR-07838,6,Oakmount Rd,Bloor St W,North,Oakmount Rd,West,00975,04, ,WR1,Temporarily Removed,L1300975,0,7,"{""type"": ""Point"", ""coordinates"": [-79.46255322, 43.65422861]}"
6,6,LR-07843,2226,Bloor St W,Bloor St W,North,Runnymede Rd,West,03261,04,Bloor West Village,WR4,Existing,L1303261,0,7,"{""type"": ""Point"", ""coordinates"": [-79.47661621, 43.65113764]}"
7,7,LR-07846,3100,Dundas St W,Dundas St W,North,Clendenan Ave,East,04919,04, ,WR2,Existing,L1304919,0,5,"{""type"": ""Point"", ""coordinates"": [-79.47296043, 43.66557613]}"
8,8,LR-07849,3,Humber Hill Ave,Dundas St W,South,Humber Hill Ave,West,04914,04, ,WR2,Existing,L1304914,0,5,"{""type"": ""Point"", ""coordinates"": [-79.50167068, 43.66468533]}"
9,9,LR-07850,620,Dundas St W,Dundas St W,South,Jane St,West,2101,10, ,WR2,Temporarily Removed,L1302101,0,5,"{""type"": ""Point"", ""coordinates"": [-79.49155039, 43.66560101]}"
10,10,LR-07851,3534,Dundas St W,Dundas St W,North,Jane St,East,T3505,04, ,WR2,Temporarily Removed,L1303505,0,5,"{""type"": ""Point"", ""coordinates"": [-79.49086024, 43.66580116]}"
11,11,LR-07854,2947,Dundas St W,Dundas St W,South,Medland St,West,04928,04,The Junction,WR4,Existing,L1304928,0,5,"{""type"": ""Point"", ""coordinates"": [-79.46747084, 43.66537213]}"
12,12,LR-07863,3350,Dundas St W,Dundas St W,North,Runnymede Rd,East,04917,04, ,WR2,Existing,L1304917,0,5,"{""type"": ""Point"", ""coordinates"": [-79.48166357, 43.665646]}"
13,13,LR-07864,3347,Dundas St W,Dundas St W,South,Runnymede Rd,East,04918,04, ,WR2,Existing,L1304918,0,5,"{""type"": ""Point"", ""coordinates"": [-79.48180953, 43.66551465]}"
14,14,LR-07867,3486,Dundas St W,Dundas St W,North,Willard Ave,West,04916,04, ,WR2,Existing,L1304916,0,5,"{""type"": ""Point"", ""coordinates"": [-79.48867327, 43.66571236]}"
15,15,LR-07868,3434,Dundas St W,Dundas St W,North,Windermere Ave,East,2433,04, ,WR1,Existing,L1302433,0,5,"{""type"": ""Point"", ""coordinates"": [-79.48556429, 43.66570268]}"
16,16,LR-10607,708,Danforth Rd,Danforth Rd,North,Hart Ave,East,06446,20, ,WR2,Existing,L3506446,0,3,"{""type"": ""Point"", ""coordinates"": [-79.25871353, 43.71901336]}"
17,17,LR-10609,2501,Eglinton Ave E,Eglinton Ave E,South,Midland Ave,West,06451,20, ,WR1,Existing,L3506451,0,3,"{""type"": ""Point"", ""coordinates"": [-79.2585581, 43.73427328]}"
18,18,LR-10685, , ,Ellesmere Rd,North,Borough Approach W,East,T7710,21, ,WR2,Existing,L3807710,0,3,"{""type"": ""Point"", ""coordinates"": [-79.25743082, 43.77111632]}"
19,19,LR-06879,2683,Lawrence Ave E,Lawrence Ave E,South,Brockley Dr,East,06893,21, ,WR2,Existing,L3706893,0,3,"{""type"": ""Point"", ""coordinates"": [-79.26154426, 43.75211018]}"
20,20,LR-06881,3271,Lawrence Ave E,Lawrence Ave E,South,Ben Stanton Blvd,West,06895,21, ,WR2,Existing,L3806895,0,3,"{""type"": ""Point"", ""coordinates"": [-79.23822533, 43.75694802]}"
21,21,LR-11641,4562,Sheppard Ave E,Sheppard Ave E,North,Brownspring Rd,West,05849,23,Sheppard East Village,WR2,Existing,L4105849,0,3,"{""type"": ""Point"", ""coordinates"": [-79.26221936, 43.78905455]}"
22,22,LR-06497,135,Antibes Dr,Bathurst St,West,Antibes Dr,South,06462,06, ,WR2,Existing,L1006462,0,5,"{""type"": ""Point"", ""coordinates"": [-79.44491205, 43.78072082]}"
23,23,LR-06737,443,Bloor St E,Glen Rd,West,Bloor St E,South,06487,13, ,WR2,Existing,L2806487,0,5,"{""type"": ""Point"", ""coordinates"": [-79.37498927, 43.67214666]}"
24,24,LR-06813,684,Pape Ave,Pape Ave,West,Danforth Ave,South,06696,14,Greektown on the Danforth,WR2,Existing,L3006696,0,7,"{""type"": ""Point"", ""coordinates"": [-79.34484212, 43.67861298]}"
25,25,LR-06539,10,Edengarth Crt,Flemington Rd,East,Stockton Rd,North,06737,08, ,WR1,Existing,L1506737,0,5,"{""type"": ""Point"", ""coordinates"": [-79.44916196, 43.72105692]}"
26,26,LR-06543,33,Ameer Ave,Ameer Ave,East,Sultana Ave,South,06741,08, ,WR1,Existing,L1506741,0,5,"{""type"": ""Point"", ""coordinates"": [-79.44013717, 43.72685564]}"
27,27,LR-06738,464,Sherbourne St,Wellesley St E,West,Sherbourne St,South,06491,13, ,WR2,Temporarily Removed,L2706491,0,5,"{""type"": ""Point"", ""coordinates"": [-79.37506402, 43.6667365]}"
28,28,LR-06758,26,Dundas St E,Dundas St E,North,Victoria St,West,06575,13,Downtown Yonge,WR4,Existing,L2706575,0,7,"{""type"": ""Point"", ""coordinates"": [-79.3799489, 43.65645278]}"
29,29,LR-11801,5667,Yonge St,Yonge St,East,Bishop Ave,South,07366,18,Willowdale,WR2,Existing,L2407366,0,7,"{""type"": ""Point"", ""coordinates"": [-79.41579237, 43.78145547]}"
30,30,LR-11768,15,Roncesvalles Ave,Roncesvalles Ave,East,Queen St W,North,07431,04,Roncesvalles Village,WR2,Temporarily Removed,L1407431,0,5,"{""type"": ""Point"", ""coordinates"": [-79.44618208, 43.63927369]}"
31,31,LR-06147,1234,King St W,King St W,North,Gwynne Ave,East,06582,04, ,WR1,Existing,L1406582,0,7,"{""type"": ""Point"", ""coordinates"": [-79.42863815, 43.63875265]}"
32,32,LR-06726,381,Birchmount Rd,Birchmount Rd,East,Raleigh Ave,South,06391,20, ,WR2,Existing,L3506391,0,3,"{""type"": ""Point"", ""coordinates"": [-79.26579128, 43.70167746]}"
33,33,LR-09962,38,Orfus Rd,Orfus Rd,North,Dufferin St,West,06984,08, ,WR1,Existing,L1506984,0,5,"{""type"": ""Point"", ""coordinates"": [-79.45934512, 43.7197498]}"
34,34,LR-06459,1,Khedive Ave,Bathurst St,West,Khedive Ave,South,06289,08, ,WR2,Temporarily Removed,L1506289,0,5,"{""type"": ""Point"", ""coordinates"": [-79.4313607, 43.72566545]}"
35,35,LR-06730,750,Birchmount Rd,Birchmount Rd,West,Chelwood Rd,North,06395,20, ,WR2,Existing,L3506395,0,3,"{""type"": ""Point"", ""coordinates"": [-79.27626658, 43.72559266]}"
