WARD,DAYS SERVICED,ASSET TYPE,STATUS
04,5,WR1,Existing
04,7,WR4,Existing
04,7,WR2,Existing
04,7,WR4,Existing
04,7,WR1,Temporarily Removed
04,7,WR4,Existing
04,5,WR2,Existing
04,5,WR2,Existing
10,5,WR2,Temporarily Removed
04,5,WR2,Temporarily Removed
04,5,WR4,Existing
04,5,WR2,Existing
04,5,WR2,Existing
04,5,WR2,Existing
04,5,WR1,Existing
20,3,WR2,Existing
20,3,WR1,Existing
21,3,WR2,Existing
21,3,WR2,Existing
21,3,WR2,Existing
23,3,WR2,Existing
06,5,WR2,Existing
13,5,WR2,Existing
14,7,WR2,Existing
08,5,WR1,Existing
08,5,WR1,Existing
13,5,WR2,Temporarily Removed
13,7,WR4,Existing
18,7,WR2,Existing
04,5,WR2,Temporarily Removed
04,7,WR1,Existing
20,3,WR2,Existing
08,5,WR1,Existing
08,5,WR2,Temporarily Removed
20,3,WR2,Existing
19,7,WR1,Existing
19,7,WR1,Temporarily Removed
08,1,WR1,Existing
08,5,WR1,Existing
08,5,WR1,Temporarily Removed
08,5,WR1,Temporarily Removed
10,7,WR2,Existing
12,5,WR2,Existing
07,1,WR1,Existing
10,7,WR2,Temporarily Removed
06,5,WR1,Existing
11,1,WR3,Existing
11,1,WR3,Existing
11,1,WR3,Existing
11,7,WR3,Existing
14,3,WR1,Existing
20,3,WR1,Existing
21,3,WR2,Existing
13,5,WR4,Existing
13,7,WR3,Existing
20,3,WR2,Existing
21,3,WR2,Temporarily Removed
13,7,WR1,Existing
13,7,WR4,Temporarily Removed
13,7,WR1,Existing
13,5,WR1,Temporarily Removed
23,3,WR2,Temporarily Removed
21,3,WR1,Temporarily Removed
22,3,WR2,Temporarily Removed
23,3,WR2,Existing
25,4,WR1,Existing
23,3,WR2,Existing
23,3,WR2,Existing
11,7,WR2,Existing
14,7,WR1,Existing
19,7,WR2,Existing
19,7,WR2,Existing
14,7,WR2,Existing
20,3,WR1,Existing
14,7,WR1,Existing
14,7,WR2,Existing
20,3,WR1,Existing
20,3,WR2,Existing
