WARD,BIA,DAYS SERVICED,ASSET TYPE,STATUS
04,Bloor West Village,7,WR4,Existing
04,Bloor West Village,7,WR4,Existing
04,Bloor West Village,7,WR4,Existing
04,The Junction,5,WR4,Existing
23,Sheppard East Village,3,WR2,Existing
14,Greektown on the Danforth,7,WR2,Existing
13,Downtown Yonge,7,WR4,Existing
18,Willowdale,7,WR2,Existing
04,Roncesvalles Village,5,WR2,Temporarily Removed
19,Danforth Village,7,WR1,Existing
11,Kensington Market,1,WR3,Existing
11,Kensington Market,1,WR3,Existing
11,Kensington Market,1,WR3,Existing
11,Chinatown,7,WR3,Existing
20,Crossroads of the Danforth,3,WR1,Existing
13,Financial District,7,WR3,Existing
13,Downtown Yonge,7,WR4,Temporarily Removed
13,Church-Wellesley Village,7,WR1,Existing
11,Bloor-Yorkville,7,WR2,Existing
14,Danforth Mosaic,7,WR2,Existing
14,Danforth Mosaic,7,WR1,Existing
14,Danforth Mosaic,7,WR2,Existing
13,Downtown Yonge,7,WR4,Existing
19,Danforth Village,3,WR2,Temporarily Removed
19,Danforth Village,3,WR2,Existing
19,Danforth Mosaic,3,WR2,Existing
14,Riverside District,7,WR2,Existing
14,Riverside District,7,WR2,Existing
14,Greektown on the Danforth,7,WR1,Existing
19,Danforth Mosaic,7,WR2,Existing
09,Corso Italia,5,WR1,Existing
06,DuKe Heights,5,WR2,Temporarily Removed
04,Bloor By The Park,1,WR2,Existing
04,Baby Point Gates,5,WR2,Existing
04,Roncesvalles Village,5,WR1,Existing
04,The Junction,5,WR4,Existing
23,Sheppard East Village,3,WR1,Existing
18,Willowdale,7,WR1,Existing
18,Willowdale,1,WR1,Existing
10,The Waterfront,7,WR4,Existing
04,Roncesvalles Village,5,WR1,Existing
04,Roncesvalles Village,5,WR1,Temporarily Removed
04,Roncesvalles Village,5,WR1,Existing
04,Roncesvalles Village,5,WR2,Existing
04,Roncesvalles Village,5,WR1,Existing
04,Roncesvalles Village,5,WR2,Existing
03,Shop The Queensway,5,WR1,Existing
06,DuKe Heights,5,WR1,Existing
04,Roncesvalles Village,5,WR2,Existing
04,The Junction,5,WR4,Existing
04,Roncesvalles Village,5,WR1,Existing
04,Roncesvalles Village,5,WR2,Existing
19,Danforth Mosaic,7,WR2,Existing
23,Sheppard East Village,3,WR1,Existing
23,Sheppard East Village,3,WR1,Existing
23,Sheppard East Village,3,WR1,Existing
10,Chinatown,7,WR2,Existing
10,Toronto Downtown West,7,WR1,Temporarily Removed
10,Toronto Downtown West,7,WR1,Temporarily Removed
08,Upper Village,5,WR2,Existing
12,Midtown Yonge,1,WR2,Existing
08,Upper Village,5,WR2,Temporarily Removed
23,Sheppard East Village,3,WR2,Existing
18,Willowdale,7,WR2,Existing
08,MarkeTO District,5,WR1,Existing
13,Financial District,7,WR4,Existing
09,Corso Italia,5,WR2,Existing
09,Fairbank Village,5,WR2,Existing
09,St. Clair Gardens,5,WR2,Existing
09,Corso Italia,5,WR2,Existing
09,Corso Italia,5,WR2,Existing
09,Corso Italia,5,WR2,Existing
09,Regal Heights Village,5,WR1,Existing
09,St. Clair Gardens,5,WR2,Existing
09,Corso Italia,5,WR2,Existing
09,Corso Italia,5,WR2,Existing
21,Kennedy Road,3,WR1,Existing
19,The Beach,7,WR4,Existing
11,Bloor-Yorkville,7,WR2,Existing
